Date,TCS,NSE,,,,,,,Regression methods,,,,,,,,,
14-08-2016,2603.5,8666.900391,rTCS,rNSE,rf,,risk_premium,,Beta,rNSE,0.480381528,,,,,,,
21-08-2016,2524.949951,8572.549805,-3.063545248,-1.094600199,1.5,-2.59,-2.59,,Beta,risk_premium,0.480381528,,,,,,,
28-08-2016,2514.800049,8809.650391,-0.402794413,2.728254076,1.5,1.23,1.23,,,,,,,,,,,
04-09-2016,2352.449951,8866.700195,-6.673597957,0.645495254,1.5,-0.85,-0.85,,SLOPE Command,,0.480381528,,,,,,,
11-09-2016,2361.699951,8779.849609,0.392436052,-0.984342982,1.5,-2.48,-2.48,,Formula of Beta,,0.480381528,,,,,,,
18-09-2016,2398.100098,8831.549805,1.529512007,0.587123638,1.5,-0.91,-0.91,,,,,,,,,,,
25-09-2016,2430.800049,8611.150391,1.354364342,-2.527259452,1.5,-4.03,-4.03,,,,0.480381528,,,,,,,
02-10-2016,2367.800049,8697.599609,-2.625916675,0.998916003,1.5,-0.50,-0.50,,,,0.480381528,,,,,,,
09-10-2016,2366.199951,8583.400391,-0.067600256,-1.321692962,1.5,-2.82,-2.82,,,,,,,,,,,
16-10-2016,2428.649902,8693.049805,2.605023494,1.269368245,1.5,-0.23,-0.23,,,,,,,,,,,
23-10-2016,2398.699951,8638,-1.240860356,-0.635275886,1.5,-2.14,-2.14,,,,,,,,,,,
30-10-2016,2330.550049,8433.75,-2.882259126,-2.392956158,1.5,-3.89,-3.89,,,,,,,,,,,
06-11-2016,2101.149902,8296.299805,-10.3619545,-1.643190418,1.5,-3.14,-3.14,,,,,,,,,,,
13-11-2016,2125.100098,8074.100098,1.133413896,-2.714818885,1.5,-4.21,-4.21,,,,,,,,,,,
20-11-2016,2300.350098,8114.299805,7.924242166,0.496649328,1.5,-1.00,-1.00,,,,,,,,,,,
27-11-2016,2221.850098,8086.799805,-3.472110158,-0.339483456,1.5,-1.84,-1.84,,,,,,,,,,,
04-12-2016,2195.25,8261.75,-1.204429104,2.140335085,1.5,0.64,0.64,,,,,,,,,,,
11-12-2016,2282.649902,8139.450195,3.904107055,-1.491379538,1.5,-2.99,-2.99,,,,,,,,,,,
18-12-2016,2288.100098,7985.75,0.238481588,-1.906393075,1.5,-3.41,-3.41,,,,,,,,,,,
25-12-2016,2365.550049,8185.799805,3.328875207,2.474221863,1.5,0.97,0.97,,,,,,,,,,,
01-01-2017,2281.399902,8243.799805,-3.62213271,0.706045702,1.5,-0.79,-0.79,,,,,,,,,,,
08-01-2017,2249.300049,8400.349609,-1.417016817,1.881194609,1.5,0.38,0.38,,,,,,,,,,,
15-01-2017,2285.350098,8349.349609,1.590014988,-0.608968041,1.5,-2.11,-2.11,,,,,,,,,,,
22-01-2017,2357.800049,8641.25,3.120977329,3.436360359,1.5,1.94,1.94,,,,,,,,,,,
29-01-2017,2232.550049,8740.950195,-5.458454978,1.147165344,1.5,-0.35,-0.35,,,,,,,,,,,
05-02-2017,2397.949951,8793.549805,7.146973336,0.59995743,1.5,-0.90,-0.90,,,,,,,,,,,
12-02-2017,2407.899902,8821.700195,0.41407724,0.319614129,1.5,-1.18,-1.18,,,,,,,,,,,
19-02-2017,2481.800049,8939.5,3.022916546,1.326504189,1.5,-0.17,-0.17,,,,,,,,,,,
26-02-2017,2494.050049,8897.549805,0.492379172,-0.470372318,1.5,-1.97,-1.97,,,,,,,,,,,
05-03-2017,2542.25,8934.549805,1.914160087,0.414982575,1.5,-1.09,-1.09,,,,,,,,,,,
12-03-2017,2525.75,9160.049805,-0.651146736,2.492585412,1.5,0.99,0.99,,,,,,,,,,,
19-03-2017,2427.199951,9108,-3.97997389,-0.56984677,1.5,-2.07,-2.07,,,,,,,,,,,
26-03-2017,2431.800049,9173.75,0.189343461,0.719299668,1.5,-0.78,-0.78,,,,,,,,,,,
02-04-2017,2429.050049,9198.299805,-0.113148945,0.26725183,1.5,-1.23,-1.23,,,,,,,,,,,
09-04-2017,2328.649902,9150.799805,-4.221159615,-0.517737732,1.5,-2.02,-2.02,,,,,,,,,,,
16-04-2017,2310.800049,9119.400391,-0.769485231,-0.343723053,1.5,-1.84,-1.84,,,,,,,,,,,
23-04-2017,2273.149902,9304.049805,-1.642731447,2.004571295,1.5,0.50,0.50,,,,,,,,,,,
30-04-2017,2320.5,9285.299805,2.061618804,-0.201728482,1.5,-1.70,-1.70,,,,,,,,,,,
07-05-2017,2360.649902,9400.900391,1.715428363,1.237298751,1.5,-0.26,-0.26,,,,,,,,,,,
14-05-2017,2507.149902,9427.900391,6.020964744,0.286794882,1.5,-1.21,-1.21,,,,,,,,,,,
21-05-2017,2578.25,9595.099609,2.796426345,1.757909096,1.5,0.26,0.26,,,,,,,,,,,
28-05-2017,2564.899902,9653.5,-0.519142091,0.606803314,1.5,-0.89,-0.89,,,,,,,,,,,
04-06-2017,2507,9668.25,-2.283263412,0.152677712,1.5,-1.35,-1.35,,,,,,,,,,,
11-06-2017,2399.699951,9588.049805,-4.374311005,-0.832980994,1.5,-2.33,-2.33,,,,,,,,,,,
18-06-2017,2361.699951,9574.950195,-1.596203117,-0.136717759,1.5,-1.64,-1.64,,,,,,,,,,,
25-06-2017,2342.850098,9511.400391,-0.801349913,-0.66592132,1.5,-2.17,-2.17,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
